Location,House_Type,Contractor,Address,Bedrooms,Bathrooms,Toilets,Parking_Space,Price
Abuja,Bungalow,Kings Property,"Citec Estate, Mbora (Nbora), Abuja",5,6,6,6,90000000
Abuja,Detached duplex,My Golden Properties,"Katampe, Abuja",5,5,6,,200000000
Abuja,Detached duplex,Ecogrove Realty,"Guzape District, Abuja",10,14,14,10,3200000000
Abuja,Semi duplex,Lexxon Nigeria,"Lifecamp Road, Life Camp, Abuja",4,4,,,38900000
Abuja,Detached duplex,Lexxon Nigeria,"Citec Road, Life Camp, Abuja",5,6,,,140000000
Abuja,Detached duplex,Obiora Adobeze Consulting,"Apo Resettlement, Apo, Abuja",5,6,6,,150000000
Abuja,Terraced duplex,Bama Realty,"Kubwa, Abuja",3,3,4,4,45000000
Abuja,Terraced duplex,Obiora Adobeze Consulting,"Gwarinpa Extension, Gwarinpa, Abuja",3,4,4,,40000000
Abuja,Terraced duplex,Kings Property,"Mabushi, Abuja",4,5,5,6,80000000
Abuja,Semi Bungalow,Kings Property,"Citec, Mbora (Nbora), Abuja",3,4,4,6,48000000
Abuja,Semi duplex,Soloproperty Of Lagos,"Guzape District, Abuja",4,5,5,3,85000000
Abuja,Detached duplex,Emcolm Silver Properties Ltd,"Naf Estate, Asokoro District, Abuja",5,6,6,15,480000000
Abuja,Detached duplex,Dala Property,"Dala Akuwku Property, Asokoro District, Abuja",9,,,,1000000000
Abuja,Terraced duplex,Solihigh Properties,"Apo, Abuja",4,4,5,2,150000000
Abuja,Detached duplex,Solihigh Properties,"Wuye, Abuja",6,6,6,,340000000
Abuja,Flat,Ali C. Orji & Co.,"Riverside Street,, [papa's Shop], Karu, Abuja",3,,,,90000000
Abuja,Detached duplex,Momich International Ventures,"Katampe Extension, Katampe, Abuja",4,,,,350000000
Abuja,Detached duplex,Momich International Ventures,"Garki, Abuja",5,,,,175000000
Abuja,Semi duplex,Momich International Ventures,"Guzape District, Abuja",5,,,,160000000
Abuja,Detached duplex,Momich International Ventures,"Maitama District, Abuja",7,,,,950000000
Abuja,Detached duplex,Momich International Ventures,"Inside An Estate, Guzape District, Abuja",6,,,,350000000
Abuja,Terraced duplex,Momich International Ventures,"Wuye, Abuja",4,,,,100000000
Abuja,Detached duplex,Momich International Ventures,"Wuye, Abuja",5,,,,270000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Terraced duplex,Momich International Ventures,"Kaura, Abuja",4,,,,130000000
Abuja,Terraced duplex,Momich International Ventures,"Wuye, Abuja",4,,,,120000000
Abuja,Terraced duplex,Momich International Ventures,"Apo Resettlement, Apo, Abuja",3,,,,60000000
Abuja,Terraced duplex,Momich International Ventures,"Mabushi, Abuja",5,,,,130000000
Abuja,Terraced duplex,Momich International Ventures,"Jahi, Abuja",4,,,,140000000
Abuja,Detached duplex,Momich International Ventures,"Guzape District, Abuja",5,,,,250000000
Abuja,Semi duplex,Sabrina Properties Ltd,"Gaduwa Estate, Gaduwa, Abuja",5,5,6,,90000000
Abuja,Flat,Bridan Global Integrated Resources Ltd,"Mabushi, Abuja",2,2,3,,35000000
Abuja,Detached duplex,Jes Unique,"Riverpark Estate, Lugbe District, Abuja",5,5,6,,200000000
Abuja,Terraced duplex,Soltech Limited,"Katampe (Main), Katampe, Abuja",4,4,5,3,65000000
Abuja,Terraced duplex,Soltech Limited,"Off 3rd Avenue, Gwarinpa, Abuja",3,3,4,2,60000000
Abuja,Semi duplex,Soltech Limited,"69 Road, Gwarinpa, Abuja",4,4,5,7,140000000
Abuja,Detached duplex,Yaz Global Technology Limited,"By Ministers Hill Maitama, Katampe, Abuja",5,,,,200000000
Abuja,Detached duplex,Arinze Onovo Consulting,"Diplomatic Zone, Katampe Extension, Katampe, Abuja",5,6,6,7,350000000
Abuja,Terraced duplex,Soltech Limited,"Gwarinpa, Abuja",3,3,4,3,40000000
Abuja,Detached duplex,Innohomes Investment Limited,"Lokogoma District, Abuja",4,5,900,,75000000
Abuja,Terraced duplex,Soltech Limited,"Extension, Gwarinpa, Abuja",3,3,4,3,60000000
Abuja,Detached duplex,Nikok Negotiate Ltd.,"Life Camp, Abuja",5,4,5,,280000000
Abuja,Terraced duplex,Nebby Homes,"Kado, Abuja",4,4,5,6,150000000
Abuja,Detached duplex,Bridan Global Integrated Resources Ltd,"Nizamiye Hospital, Idu Industrial, Abuja",5,5,6,,135000000
Abuja,Detached duplex,Ecogrove Realty,"Guzape District, Abuja",10,14,14,10,3200000000
Abuja,Detached duplex,Loyalty Homes Limited,"Guzape District, Abuja",5,5,5,,270000000
Abuja,Detached duplex,Franada Integrated Services Ltd,"Usuma Street, Maitama District, Abuja",6,8,10,15,1800000000
Abuja,Flat,Bridan Global Integrated Resources Ltd,"Nizamiye Hospital, Idu Industrial, Abuja",2,2,3,,24000000
Abuja,Flat,Bridan Global Integrated Resources Ltd,"Navy, Jahi, Abuja",3,3,4,,60000000
Abuja,Flat,Bridan Global Integrated Resources Ltd,"Gilmore, Jahi, Abuja",2,2,3,,70000000
Abuja,Semi duplex,Bridan Global Integrated Resources Ltd,"Life Camp, Abuja",3,3,4,,75000000
Abuja,Detached duplex,Bridan Global Integrated Resources Ltd,"Life Camp, Abuja",4,4,5,,250000000
Abuja,Semi duplex,Bridan Global Integrated Resources Ltd,"Life Camp, Abuja",5,6,,,280000000
Abuja,Flat,Ramay Hill Multi Divisional Enterprise Limited,"Gwarinpa, Abuja",6,6,7,,180000000
Abuja,Flat,Terkuma Zasha,"Mitchville Estate, Lokogoma District, Abuja",3,3,4,3,37000000
Abuja,Detached duplex,Terkuma Zasha,"Nimasset Estate After Trademore, Pyakasa, Lugbe District, Abuja",4,4,5,6,76000000
Abuja,Semi duplex,Tnc Homes,"Brains And Hammers City, Life Camp, Abuja",4,4,5,2,50000000
Abuja,Semi duplex,Tnc Homes,"Brains & Hammers, Life Camp, Abuja",4,4,5,2,150000000
Abuja,Detached duplex,Beacon Corporate Realty Limited,"Asokoro District, Abuja",4,5,5,,300000000
Abuja,Terraced duplex,Properties Navigators Nigeria Limited,"Naf Valley Estate, Asokoro District, Abuja",3,4,4,3,73000000
Abuja,Detached duplex,Yaz Global Technology Limited,"Riverpark Estate, Lugbe District, Abuja",4,,,,70000000
Abuja,Terraced duplex,Yaz Global Technology Limited,"Mabushi, Abuja",4,,,,120000000
Abuja,Semi duplex,Yaz Global Technology Limited,"Katampe (Main), Katampe, Abuja",5,,,,120000000
Abuja,Terraced duplex,Nikee Properties,"Wuye, Abuja",4,5,,,75000000
Abuja,Bungalow,Mubdhab Homes Ltd,"Lokogoma District, Abuja",3,3,4,,47000000
Abuja,Terraced duplex,Jes Unique,"Life Camp, Abuja",4,4,5,,50000000
Abuja,Detached duplex,Real North Projects,"Hill Crest Estate, By Zeberced Homes, Katampe (Main), Katampe, Abuja",6,6,7,4,370000000
Abuja,Detached duplex,Beacon Corporate Realty Limited,"Gudu, Abuja",4,5,5,,180000000
Abuja,Flat,Kingsmate Properties Ltd,"Sdp Hills, Karu, Abuja",3,3,4,2,29000000
Abuja,Flat,Loyalty Homes Limited,"Fort Royal Estate, Along Airport Road, Lugbe District, Abuja",5,5,5,,370000000
Abuja,Detached duplex,Innerworkings,"6th Avenue, Gwarinpa, Abuja",6,6,7,5,160000000
Abuja,Terraced duplex,Arinze Onovo Consulting,"Off Obafemi Awolowo Way, Jabi, Abuja",4,6,5,18,170000000
Abuja,Terraced duplex,Rico Classified Signature Ltd,"Kado, Abuja",4,4,5,4,150000000
Abuja,Terraced duplex,Doda Properties Ltd,"Gwarinpa, Abuja",4,4,5,,80000000
Abuja,Semi duplex,Samos Investments Limited,"Plot 5048 Oak Cosgrove Smart Estate, Katampe, Abuja",4,,,,200000000
Abuja,Detached duplex,D' I-brose Properties Limited,"Apo, Abuja",4,5,5,,120000000
Abuja,Detached duplex,D' I-brose Properties Limited,"Karsana, Abuja",11,,,,250000000
Abuja,Detached duplex,D' I-brose Properties Limited,"Guzape District, Abuja",5,6,,,350000000
Abuja,Terraced duplex,D' I-brose Properties Limited,"River Park Estate, Lugbe District, Abuja",4,5,5,4,65000000
Abuja,Detached duplex,D' I-brose Properties Limited,"Along Nizamiye Hospital, Mbora (Nbora), Abuja",5,,,,140000000
Abuja,Detached duplex,Loyalty Homes Limited,"Katampe Extension, Katampe, Abuja",5,5,5,,370000000
Abuja,Detached duplex,Loyalty Homes Limited,"Katampe (Main), Katampe, Abuja",4,4,4,,150000000
Abuja,Flat,Loyalty Homes Limited,"Zone 1, Wuse, Abuja",25,,,,750000000
Abuja,Detached duplex,Loyalty Homes Limited,"Maitama District, Abuja",7,7,7,,950000000
Abuja,Bungalow,Loyalty Homes Limited,"Airport Road, Lugbe District, Abuja",3,3,3,,50000000
Abuja,Detached duplex,Loyalty Homes Limited,"Gwarinpa, Abuja",5,5,5,,250000000
Lagos,Terraced duplex,Oakwood Heights Limited,"Atlantic Nominees Estate, Alasia, Ajah, Lagos",4,4,5,2,30000000
Lagos,Terraced duplex,Flentia Business Connect,"Lekki Gardens, Lekki Ajah, Ajah, Lagos",4,4,4,3,37000000
Lagos,Terraced duplex,Sng Realty,"Mike Adegbite Street, Lekki Phase 1, Lekki, Lagos",4,4,5,2,220000000
Lagos,Terraced duplex,Kelkey Global Limited,"Harris Drive, VGC, Lekki, Lagos",4,4,5,2,60000000
Lagos,Detached duplex,Classic Properties....,"Lekki Palm City Estate.., Ajah, Lagos",4,4,5,4,110000000
Lagos,Flat,Stunbich Investment Limited,"Behind O,mark School, Egan, Igando, Ikotun, Lagos",3,3,4,,28000000
Lagos,Semi duplex,Eyitetsproperties,"Exceptionally Spacious, Flexible With Bushland Ambience, Ajah, Lagos",4,4,5,4,55000000
Lagos,Terraced duplex,Eyitetsproperties,"Sophisticated Haven In A Premium Lifestyle Enclave, Osapa, Ikate Elegushi, Lekki, Lagos",4,4,5,4,75000000
Lagos,Terraced duplex,B.e.trealty,"Chevron, Lekki, Lagos",4,,,,150000000
Lagos,Detached duplex,Egcent Limited,"2nd Toll Gate Lekki Lagos, Lekki, Lagos",5,5,5,6,240000000
Lagos,Semi duplex,Valuecreek Global Realty,"Oniru, Victoria Island (VI), Lagos",4,4,,,185000000
Lagos,Detached duplex,B.e.trealty,"Ikota, Lekki, Lagos",4,,,,110000000
Lagos,Semi duplex,The Estate Informant,"Lekki Phase 1, Lekki, Lagos",4,4,5,,195000000
Lagos,Detached duplex,Abake therealtor,"Ikota, Lekki, Lagos",4,,,,110000000
Lagos,Semi duplex,,"Around Lbs, Ajah, Lagos",5,6,6,4,85000000
Lagos,Detached duplex,The Estate Informant,"Lekki Phase 1, Lekki, Lagos",5,5,6,,650000000
Lagos,Flat,Compax Properties.,"Tastefully Finished Luxury Home, Chevron Tollgate, Lekki, Lagos",4,4,5,4,100000000
Lagos,Semi duplex,Fn Realtors Limited,"Mobil Road Ajah, Ajah, Lagos",4,4,5,3,50000000
Lagos,Detached duplex,Compax Properties.,"Newly Built Luxury Home, Lekki County Homes, Lekki, Lagos",5,5,6,5,160000000
Lagos,Semi duplex,Godmaan Realty,"Chevron, Lekki, Lagos",4,6,6,6,95000000
Lagos,Detached duplex,Pleasant Shelters,"Osapa, Lekki, Lagos",5,5,5,5,220000000
Lagos,Flat,Greenhaven Properties,"Off Felicia Koleosho Street, Opebi, Ikeja, Lagos",5,5,6,700,280000000
Lagos,Semi duplex,Godmaan Realty,"Chevron, Lekki, Lagos",4,6,6,6,95000000
Lagos,Detached duplex,Pleasant Shelters,"Osapa, Lekki, Lagos",5,5,5,5,220000000
Lagos,Semi Bungalow,,"Lekki Phase 2, Lekki, Lagos",4,6,7,5,70000000
Lagos,Bungalow,Compax Properties.,"Perfect Family Home, Awoyaya, Ibeju Lekki, Lagos",3,3,4,3,33000000
Lagos,Terraced duplex,Godmaan Realty,"Ologolo, Lekki, Lagos",4,6,6,6,65000000
Lagos,Flat,Compax Properties.,"Ultra Luxurious Family Home, Lekki Phase 1, Lekki, Lagos",3,3,4,3,120000000
Lagos,Terraced duplex,Newyork Homes,"Ajah, Lagos",4,4,5,5,48000000
Lagos,Detached duplex,Boyol Properties,"Off Orchid Road, Lekki Phase 2, Lekki, Lagos",4,4,5,3,82000000
Lagos,Semi duplex,Compax Properties.,"Affordable Luxury Home, VGC, Lekki, Lagos",4,4,5,3,59500000
Lagos,Semi duplex,Godmaan Realty,"Orchid, Lekki, Lagos",4,6,6,6,65000000
Lagos,Detached duplex,C W Real Estate,"Lekki Phase 1, Lekki, Lagos",5,5,6,,650000000
Lagos,Semi duplex,Movi Cab Integrated Concepts,"Fountain Springville Estate, Sangotedo, Ajah, Lagos",5,6,,,120000000
Lagos,Flat,Compax Properties.,"Fully Serviced Family Home, Ikate Elegushi, Lekki, Lagos",3,3,4,3,80000000
Lagos,Detached duplex,C W Real Estate,"Ikate, Lekki, Lagos",5,5,6,,350000000
Lagos,Flat,Bobbag Ltd,"Off Toyin Street, Ikeja, Lagos",4,4,4,,55000000
Lagos,Flat,Solomon Olaolu Consulting,"Olusegun Abe Close, Greenland Estate, Idowu Egba Bus-stop, Off Lasu Ojo, Isheri Olofin, Alimosho, Lagos",3,3,4,8,60000000
Lagos,Terraced duplex,Solomon Olaolu Consulting,"Coopeast Beach Resort Estate, Behind Nicon Town, Lekki, Lagos",4,4,5,262,135000000
Lagos,Terraced duplex,Skindu-homes,"Ikota, Lekki, Lagos",4,4,5,4,48000000
Lagos,Terraced duplex,Options Ptoperties,"Akora Estate, Adeniyi Jones, Ikeja, Lagos",5,6,,,160000000
Lagos,Semi duplex,Skindu-homes,"Ologolo, Lekki, Lagos",4,4,5,4,79999999
Lagos,Terraced duplex,Brains And Hammers Ltd,"Signature Estate ,by Periwinkle, Off Freedom Way, Lekki, Lagos",4,5,6,3,140000000
Lagos,Flat,Bobbag Ltd,"Off Toyin Street, Ikeja, Lagos",4,4,4,,55000000
Lagos,Flat,Solomon Olaolu Consulting,"Olusegun Abe Close, Greenland Estate, Idowu Egba Bus-stop, Off Lasu Ojo, Isheri Olofin, Alimosho, Lagos",3,3,4,8,60000000
Lagos,Terraced duplex,Solomon Olaolu Consulting,"Coopeast Beach Resort Estate, Behind Nicon Town, Lekki, Lagos",4,4,5,262,135000000
Lagos,Terraced duplex,Skindu-homes,"Ikota, Lekki, Lagos",4,4,5,4,48000000
Lagos,Terraced duplex,Options Ptoperties,"Akora Estate, Adeniyi Jones, Ikeja, Lagos",5,6,,,160000000
Lagos,Semi duplex,Skindu-homes,"Ologolo, Lekki, Lagos",4,4,5,4,79999999
Lagos,Semi duplex,F. A. Esan Consulting,"Lekki Phase 1, Lekki, Lagos",4,4,5,,250000000
Lagos,Terraced duplex,F. A. Esan Consulting,"Lekki Gardens Estate Phase 2, Ajah, Lagos",3,2,3,,50000000
Lagos,Terraced duplex,F. A. Esan Consulting,"Periwinkle Estate, Lekki Phase 1, Lekki, Lagos",4,4,5,,200000000
Lagos,Terraced duplex,F. A. Esan Consulting,"Meridian Park Estate, Awoyaya, Ibeju Lekki, Lagos",3,3,4,,36000000
Lagos,Terraced duplex,F. A. Esan Consulting,"Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",3,3,4,,750000000
Lagos,Detached duplex,Olanrealtors,"Oko Ado, Ajah, Lagos",3,4,4,,60000000
Lagos,Flat,Debacpro Consults,"Goodnews Estate, Sangotedo, Ajah, Lagos",3,3,4,6,70000000
Lagos,Terraced duplex,Fta Global Resources Nig Ltd,"Agungi, Lekki, Lagos",4,4,5,3,130000000
Lagos,Detached duplex,Fta Global Resources Nig Ltd,"Agungi, Lekki, Lagos",5,5,6,3,135000000
Lagos,Semi duplex,Gudproperty Realty,"Opposite Beechwood Estate, Bogije, Ibeju Lekki, Lagos",4,5,5,6,28000000
Lagos,Terraced duplex,Rouxey Vision Limited,"Sangotedo, Ajah, Lagos",4,5,5,,60000000
Lagos,Terraced duplex,Rouxey Vision Limited,"Chois Garden Estate Abijo Gra, Abijo, Lekki, Lagos",4,5,5,4,60000000
Lagos,Semi duplex,Laprenge Properties,"Ikate, Lekki, Lagos",4,4,5,4,168000000
Lagos,Flat,Shortlet.ng,"Ikate, Lekki, Lagos",3,3,4,,85000000
Lagos,Terraced duplex,Greenhaven Properties,"Oduduwa Crescent, Ikeja GRA, Ikeja, Lagos",4,4,5,,180000000
Lagos,Flat,Fex Investment,"Lafenwa, Ayobo, Lagos",3,3,3,3,5000000
Lagos,Terraced duplex,Gui Integrated Concept Limited,"Off Eric-moore, Bode Thomas, Surulere, Lagos",3,3,4,,70000000
Lagos,Terraced duplex,Gui Integrated Concept Ltd,",off Eric-moore, Bode Thomas, Surulere, Lagos",3,3,4,,70000000
Lagos,Detached duplex,Joossa Integrated Services Ltd,"Megamound Lekki County Homes Estate, Ikota, Lekki, Lagos",5,6,6,6,195000000
Lagos,Detached duplex,Joossa Integrated Services Ltd,"Royal Gardens Estate, Lekki, Lagos",4,5,6,7,255000000
Lagos,Detached duplex,Soas Property Limited.,"Victory Park Estate., Osapa, Lekki, Lagos",5,4,6,5,510000000
Lagos,Bungalow,Options Ptoperties,"Beckley Estate, Abule Egba, Agege, Lagos",4,5,,,38000000
Lagos,Detached duplex,Soas Property Limited.,"Victory Park Estate., Osapa, Lekki, Lagos",5,5,6,5,400000000
Lagos,Detached duplex,Soas Property Limited.,"Victory Park Estate., Osapa, Lekki, Lagos",5,5,6,8,390000000
Lagos,Detached duplex,Forefront Properties,"Idado, Lekki, Lagos",3,3,3,5,110000000
Lagos,Semi duplex,Soas Property Limited.,"Prince Eletu Way, Osapa, Lekki, Lagos",4,4,5,4,120000000
Lagos,Terraced duplex,Forefront Properties,"Idado, Lekki, Lagos",4,4,4,4,80000000
Lagos,Detached duplex,Forefront Properties,"Ajah, Lagos",4,4,4,5,50000000
Lagos,Bungalow,Loyalty Homes Limited,"Oguntan Street Off Ali Owe Street Off Glory Estate, Ifako, Gbagada, Lagos",4,4,4,,70000000
Lagos,Detached duplex,Loyalty Homes Limited,"Thomas Estate, Ajah, Lagos",4,4,4,,75000000
Lagos,Detached duplex,Options Ptoperties,"VGC, Lekki, Lagos",4,5,,,165000000
Lagos,Bungalow,Noble Touch Properties,"Off Ajala Road, Ayobo, Lagos",2,2,2,6,13000000
Lagos,Terraced duplex,Top bliss Home,"Amity Estate, Sangotedo, Ajah, Lagos",2,3,3,2,27000000
Lagos,Flat,Loyalty Homes Limited,"Ogba, Ikeja, Lagos",,,,,90000000
Lagos,Semi duplex,Loyalty Homes Limited,"New Oko-Oba, Agege, Lagos",4,4,4,,55000000
Lagos,Semi duplex,,"Opp Chevron, Lekki, Lagos",5,4,5,6,130000000
Lagos,Detached duplex,Soas Property Limited.,"Prince Eletu Way, Osapa, Lekki, Lagos",5,5,6,4,180000000
Lagos,Flat,Netton Real Estate,"Unity Estate, Badore, Ajah, Lagos",2,2,3,,120000000
Lagos,Terraced duplex,Top bliss Home,"Orchid, Lekki, Lagos",4,4,5,3,60000000
Lagos,Bungalow,Noble Touch Properties,"Wale Adenuga Street, Off Ejigbo Bus-stop, Ejigbo, Lagos",5,5,6,8,33000000
Lagos,Terraced duplex,Nordstrom Hills Realtors,"Ajah, Lagos",4,4,4,4,45000000
Lagos,Detached duplex,Property Evangelist Ltd,"Lai Fafowora Street, Magodo, Lagos",5,,,,200000000
Lagos,Semi duplex,Realty In And Out Consult,"Around Traffic Light, By Femi Okunnu Estate, Jakande, Lekki, Lagos",4,,,,150000000
Lagos,Bungalow,Realty In And Out Consult,"Off Guru Obawole, Via Ogba, Ogba, Ikeja, Lagos",4,4,5,,45000000
Lagos,Semi duplex,Eyitetsproperties,"Capture The Charm, Love The Space, Live The Location, Orchid, Lekki, Lagos",4,4,5,4,65000000
Lagos,Bungalow,King's Home Global Concept,"Lekki, Lagos",1,,,,11000000
Lagos,Detached duplex,Royal9ja Properties Management,"Orchid Road, Lekki, Lagos",5,4,4,4,225000000
Lagos,Detached duplex,Royal9ja Properties Management,"Osapa, Lekki, Lagos",5,6,6,7,215000000
Lagos,Semi duplex,Eyitetsproperties,"Spacious, Private & Quality Modern Home, Chevron, Lekki, Lagos",4,4,5,4,95000000
Lagos,Flat,Compax Properties.,"Ikate Elegushi, Lekki, Lagos",3,3,4,3,85000000
Lagos,Semi duplex,Compax Properties.,"Orchid, Lekki, Lagos",4,4,5,3,63000000
Lagos,Semi duplex,Compax Properties.,"Chevron, Lekki, Lagos",4,4,5,3,90000000
Lagos,Flat,Team 316 Media Market,"Unity Estate, Thomas Estate, Ajah, Lagos",4,4,5,3,70000000
Lagos,Semi duplex,Compax Properties.,"Chevron, Lekki, Lagos",4,4,5,3,90000000
Lagos,Semi duplex,Team 316 Media Market,"Ikota, Lekki, Lagos",4,4,5,4,75000000
Lagos,Terraced duplex,Mart Property,"Orchid Road, Lekki, Lagos",4,4,5,4,63000000
Lagos,Terraced duplex,Boyol Properties,"Orchid Road, Lekki Phase 2, Lekki, Lagos",4,4,5,2,75000000
Lagos,Semi duplex,,"Thomas Estate, Ajah, Lagos",4,5,5,5,57000000
Lagos,Semi duplex,Davidic Global,"Ajah, Lagos",4,4,5,,85000000
Lagos,Detached duplex,Upwey Global Investment,"No 31, Besides Oba Elegushi Palace, Off Freedom Way, Lekki Phase 1, Lekki, Lagos",5,5,6,,250000000
Lagos,Semi duplex,Team 316 Media Market,"Ajah, Lagos",4,4,5,5,55000000
Lagos,Detached duplex,Agathahomes.ng Limited,"Ikota, Lekki, Lagos",4,4,5,2,75000000
Lagos,Terraced duplex,Diamond Realty,"Meadow Hall,, Ikate, Lekki, Lagos",3,3,4,3,120000000
Lagos,Detached duplex,Bera Deals,"Pinnock Beach Estate, Lekki Phase 1, Lekki, Lagos",6,6,7,7,750000000
Lagos,Detached duplex,Bera Deals,"Shoreline Estate, Banana Island, Ikoyi, Lagos",6,6,7,7,3821345938
Lagos,Semi duplex,Joe Etoniru And Associates,"Ajah, Lagos",4,4,5,2,70000000
Lagos,Bungalow,Joe Etoniru And Associates,"Awoyaya, Ibeju Lekki, Lagos",4,4,5,4,36000000
Lagos,Detached duplex,Joe Etoniru And Associates,"Ajah, Lagos",5,5,6,4,160000000
Lagos,Detached duplex,Joe Etoniru And Associates,"Osapa, Lekki, Lagos",5,,,,260000000
Lagos,Detached duplex,Joe Etoniru And Associates,"Ologolo, Lekki, Lagos",4,,,,170000000
Lagos,Semi duplex,Joe Etoniru And Associates,"Lafiaji, Lekki, Lagos",4,4,5,4,85000000
Lagos,Bungalow,Kels.properties,"Ajah, Lagos",4,4,,,57000000
Lagos,Semi duplex,Kelkey Global Limited,"Agungi, Lekki, Lagos",4,4,5,3,95000000
Lagos,Detached duplex,Kelkey Global Limited,"Agungi, Lekki, Lagos",4,4,5,3,120000000
Lagos,Detached duplex,Kelkey Global Limited,"Ikota, Lekki, Lagos",4,4,5,3,125000000
Lagos,Terraced duplex,Kelkey Global Limited,"Agungi, Lekki, Lagos",4,4,5,2,70000000
Lagos,Detached duplex,Kels.properties,"Ajah, Lagos",4,4,,,50000000
Lagos,Semi duplex,Rehovot Properties Limited,"Ajah, Lagos",4,4,5,3,73000000
Lagos,Detached duplex,Kelkey Global Limited,"Idado, Lekki, Lagos",5,5,6,3,160000000
Lagos,Semi duplex,Kelkey Global Limited,"Idado, Lekki, Lagos",4,4,5,3,100000000
Lagos,Semi duplex,Kelkey Global Limited,"Orchid, Lekki, Lagos",4,4,5,2,80000000
Lagos,Flat,Agathahomes.ng Limited,"Ologolo, Lekki, Lagos",2,2,3,2,50000000
Lagos,Flat,Top Stead Homes,"Ikoyi, Lagos",4,4,4,,300000000
Lagos,Detached duplex,B.e.trealty,"Orchid, Lekki, Lagos",5,,,,150000000
Lagos,Detached duplex,B.e.trealty,"Orchid, Lekki, Lagos",4,,,,110000000
Lagos,Detached duplex,M. I. E International Enterprises,"Agoyo Estate, Off Mobil Estate Road, Immediately After Vgc, Ilaje, Ajah, Lagos",5,5,6,5,90000000
Lagos,Terraced duplex,Jabisco Development,"Victoria Crest 3 Orchid Road, Lekki, Lagos",4,4,5,,58000000
Lagos,Semi duplex,Ail Property,"Oniru, Victoria Island (VI), Lagos",4,4,5,3,200000000
Lagos,Semi Bungalow,Thedriverrealty,"Orchid Road, Lekki, Lagos",2,2,3,2,34000000
Lagos,Terraced duplex,Jabisco Development,"Lekki Palm City Estate,, Ajah, Lagos",4,4,5,,46000000
Lagos,Terraced duplex,Jabisco Development,"Meadow Hall Road, Ikate, Lekki, Lagos",4,4,5,,115000000
Lagos,Detached duplex,Bera Deals,"Northern Foreshore Estate, Lekki Phase 2, Lekki, Lagos",5,5,6,10,350000000
Lagos,Detached duplex,Bera Deals,"Pinnock Beach Estate, Osapa, Lekki, Lagos",6,7,8,10,750000000
Lagos,Terraced duplex,Jabisco Development,"Meadow Hall Road, Opposite Chisco,, Ikate, Lekki, Lagos",3,3,4,,85000000
Lagos,Bungalow,Makinshua Ventures,"Ajah, Lagos",4,5,5,6,57000000
Lagos,Terraced duplex,Team 316 Media Market,"Lekki Expressway, Ajah, Lagos",4,4,5,3,57000000
Lagos,Detached duplex,Aloda Limited,"Thomas Estate, Ajah, Lagos",4,4,5,,60000000
Lagos,Terraced duplex,Luxury Living Properties,"Lekki Phase 2, Ajiwe, Ajah, Lagos",2,2,3,2,56000000
Lagos,Terraced duplex,Vada Spaces Realty,"Chevron Tollgate, Orchid Road, Lekki, Lagos",4,4,5,2,75000000
Lagos,Flat,Skindu-homes,"Unique And Luxurious Haven, Ikate, Lekki, Lagos",3,3,4,3,84000000
Lagos,Semi duplex,C W Real Estate,"Ikoyi, Lagos",5,5,6,,850000000
Lagos,Flat,Aloda Limited,"Ikate Elegushi, Lekki, Lagos",2,2,3,,60000000
Lagos,Detached duplex,Bbs Nigeria,"Lekki, Lagos",6,6,6,10,750000000
Lagos,Terraced duplex,Lekan Ajayi Consulting,"Lekki Garden Estate, By Lbs, Ajah, Lagos",3,3,4,2,35000000
Lagos,Semi duplex,Lekan Ajayi Consulting,"Parkview, Ikoyi, Lagos",4,4,5,4,550000000
Lagos,Detached duplex,Donhilz Global Service,"Chevron, Lekki, Lagos",5,6,4,,450000000
Lagos,Detached duplex,B.e.trealty,"Ajah, Lagos",4,,,,50000000
Lagos,Detached duplex,Shelter Nest Realty,"Ajah, Lagos",5,7,8,6,300000000
Lagos,Detached duplex,Comfort Homes,"Green Park Scheme, Abijo, Lekki, Lagos",5,5,6,9,63000000
Lagos,Detached duplex,Shelter Nest Realty,"Lekki, Lagos",5,6,7,4,210000000
Lagos,Semi duplex,Shelter Nest Realty,"Ibeju Lekki, Lagos",5,6,7,4,180000000
Lagos,Detached duplex,Shelter Nest Realty,"Idado, Lekki, Lagos",5,6,7,4,160000000
Lagos,Semi duplex,Shelter Nest Realty,"Agungi, Lekki, Lagos",4,5,6,3,90000000
Lagos,Detached duplex,Shelter Nest Realty,"Agungi, Lekki, Lagos",5,6,7,4,160000000
Lagos,Semi duplex,Shelter Nest Realty,"Agungi, Lekki, Lagos",4,5,6,3,85000000
Lagos,Detached duplex,Papitech Innovative Solutions,"Victory Park, Osapa, Lekki, Lagos",5,5,6,5,400000000
Lagos,Semi duplex,Top bliss Home,"Chevron, Lekki, Lagos",4,4,5,3,100000000
Lagos,Terraced duplex,Olanrealtors,"Ajao Estate At Anthony Lagos, Anthony, Maryland, Lagos",3,5,5,12,65000000
Lagos,Semi duplex,Top bliss Home,"Ologolo, Ologolo, Lekki, Lagos",4,4,5,3,85000000
Lagos,Semi duplex,Sao Property,"Olowo - Eko Close, Lekki Phase 1, Lekki, Lagos",5,5,6,3,250000000
Lagos,Detached duplex,Safeguide Concepts,"Ikoyi, Lagos",5,6,6,,440000000
