House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Newly Built 4 Bedroom Bungalow In A Developed Area,4 bedroom detached bungalow for sale,Chyglosco Homes,"Omachi, Rukpokwu, Port Harcourt, Rivers",09025567055,"₦21,000,000",4,698,698,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1709342-newly-built-4-bedroom-bungalow-in-a-developed-area
Very Lovely 4 Bedroom Duplex,4 bedroom detached duplex for sale,Alo Support Services,"GRA Phase 3, Port Harcourt, Rivers",07064280601,"₦70,000,000",4,5,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-3/1726746-very-lovely-4-bedroom-duplex
Magnificient And Spacious Bedroom Duplex With Units Of 2 Bedroom Flat,4 bedroom detached duplex for sale,Bluehedge Realtors,"Nvigwe Estate, Woji, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1496893-magnificient-and-spacious-bedroom-duplex-with-units-of-2-bedroom-flat
Luxury Four (4) Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦130,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1565582-luxury-four-4-bedroom-detached-duplex
Luxuriously Finished 4 Bedroom Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Nta Road, Port Harcourt, Rivers",+2348177766119,"₦35,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1623870-luxuriously-finished-4-bedroom-bungalow
Luxurious And Tastefully Finished Twin 4 Bedroom Terrace Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"New Gra, Port Harcourt, Rivers",+2348177766119,"₦220,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1628363-luxurious-and-tastefully-finished-twin-4-bedroom-terrace-duplex
Tastefully Finished Five (5) Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Eliozu, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",5,5,7,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1648024-tastefully-finished-five-5-bedroom-detached-duplex
Tastefully Finished 4 Bedroom Duplex + 2 Units Of 2 Bedroom Flat,4 bedroom detached duplex for sale,Bluehedge Realtors,"Nta Road, Port Harcourt, Rivers",+2348177766119,"₦75,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1671501-tastefully-finished-4-bedroom-duplex-2-units-of-2-bedroom-flat
Magnificient 9 Units Of 1 Bedroom Block Of Flats & 4 Bedroom Duplex,Block of flats for sale,Bluehedge Realtors,"Nta/ Choba Road, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",647,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1671580-magnificient-9-units-of-1-bedroom-block-of-flats-4-bedroom-duplex
Well Located And Durably Built Block Of Flats In Carcass .,2 bedroom block of flats for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦80,000,000",2,2,3,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1690411-well-located-and-durably-built-block-of-flats-in-carcass
Magnificient And Durably Built 3 Bedroom Block Of Flats,3 bedroom block of flats for sale,Bluehedge Realtors,"Woji /off Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",3,3,4,15,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1690418-magnificient-and-durably-built-3-bedroom-block-of-flats
Luxury And Spacious 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Nta Road, Port Harcourt, Rivers",+2348177766119,"₦40,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1724846-luxury-and-spacious-4-bedroom-detached-bungalow
6 Flats Income Property In A Good Location,10 bedroom block of flats for sale,Aito Properties Ltd,"Rukpokwu Eneka Road, Port Harcourt, Rivers",09060587316,"₦55,000,000",10,10,15,465,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1722177-6-flats-income-property-in-a-good-location
Luxury 4 Bedroom Semi Detached Duplex,4 bedroom semi-detached duplex for sale,Life Hedge Resources,"Off Sars Road, Rukpokwu, Port Harcourt, Rivers",08057258957,"₦70,000,000",4,4,5,4,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/rukpokwu/1724701-luxury-4-bedroom-semi-detached-duplex
Tastefully Finished 5 Bedroom Duplex In A Nice Neighborhood,5 bedroom detached duplex for sale,Aito Properties Ltd,"Rukpokwu, Port Harcourt, Rivers",09060587316,"₦55,000,000",5,5,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1623879-tastefully-finished-5-bedroom-duplex-in-a-nice-neighborhood
5 Bedroom Classic Duplex With Bq In A Luxury Estate,5 bedroom detached duplex for sale,Aito Properties Ltd,"Gold Spring Estate, Port Harcourt, Rivers",09060587316,"₦85,000,000",5,5,6,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1649278-5-bedroom-classic-duplex-with-bq-in-a-luxury-estate
Income Property: 2 Bedroom Flats + 8 Units Of Studio Apartments,10 bedroom block of flats for sale,Aito Properties Ltd,"Ogbogoro St Johns Road, Port Harcourt, Rivers",09060587316,"₦22,000,000",10,11,11,471,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1698449-income-property-2-bedroom-flats-8-units-of-studio-apartments
Well Finished 5 Bedrooms Duplex In Peaceful Neighborhood,5 bedroom detached duplex for sale,Aito Properties Ltd,"Cornerstone, Nta Road, Port Harcourt, Rivers",09060587316,"₦85,000,000",5,5,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1389044-well-finished-5-bedrooms-duplex-in-peaceful-neighborhood
Income Property: Newly Built 7 Bedroom Block Of Flats,7 bedroom block of flats for sale,Aito Properties Ltd,"Igwuruta, Ikwerre, Rivers",09060587316,"₦20,000,000",7,6,6,7,https:/for-sale/houses/block-of-flats/rivers/ikwerre/1437621-income-property-newly-built-7-bedroom-block-of-flats
Newly Built 6 Bedroom Duplex,6 bedroom detached duplex for sale,Aito Properties Ltd,"Rukpokwu, Port Harcourt, Rivers",09060587316,"₦65,000,000",6,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1488617-newly-built-6-bedroom-duplex
Magnificent Income Property In An Affluent Neighborhood,13 bedroom semi-detached duplex for sale,Aito Properties Ltd,"Nta Road, Port Harcourt, Rivers",09060587316,"₦200,000,000",13,13,17,6,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1613938-magnificent-income-property-in-an-affluent-neighborhood
3 Bedroom Bungalow In A Nice Location,3 bedroom detached bungalow for sale,Aito Properties Ltd,"Sars Road, Port Harcourt, Rivers",09060587316,"₦29,000,000",3,3,4,3,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1709112-3-bedroom-bungalow-in-a-nice-location
Smart 4 Bedroom Duplex In A Good Location,4 bedroom detached duplex for sale,Aito Properties Ltd,"Akwaka, Off Sars Road, Port Harcourt, Rivers",09060587316,"₦55,000,000",4,4,5,233,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1713292-smart-4-bedroom-duplex-in-a-good-location
Brand New 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦65,000,000",4,4,5,5,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1715025-brand-new-4-bedroom-terrace-duplex
4 Bedroom Semi Detached Duplex With 1 Room Bq,4 bedroom semi-detached duplex for sale,Aito Properties Ltd,"Somitel Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦70,000,000",4,4,5,4,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/trans-amadi/1717264-4-bedroom-semi-detached-duplex-with-1-room-bq
Well Crafted Modern 4 Bedroom Duplex,4 bedroom detached duplex for sale,Aito Properties Ltd,"Nta Road, Port Harcourt, Rivers",09060587316,"₦85,000,000",4,4,5,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1549855-well-crafted-modern-4-bedroom-duplex
Well Finished Modern 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Aito Properties Ltd,"St John's, Iwofe Off Ada George Road, Rumueprikom, Port Harcourt, Rivers",09060587316,"₦35,000,000",3,3,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumueprikom/1553149-well-finished-modern-3-bedroom-bungalow
Outstanding 2 Units Of 4 Bedroom Duplexes In A Peaceful Environment,4 bedroom detached duplex for sale,Aito Properties Ltd,"Nta Road, Port Harcourt, Rivers",09060587316,"₦90,000,000",4,4,5,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1589330-outstanding-2-units-of-4-bedroom-duplexes-in-a-peaceful-environment
Contemporary 4 Bedroom Duplex In A Prime Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Shell Cooperative Estate, Eneka, Port Harcourt, Rivers",09060587316,"₦120,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eneka/1590453-contemporary-4-bedroom-duplex-in-a-prime-estate
Luxury 6 Bedroom Mansion In A Secured Estate,6 bedroom detached duplex for sale,Aito Properties Ltd,"Shell Cooperative Estate, Eneka, Port Harcourt, Rivers",09060587316,"₦155,000,000",6,6,7,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1590491-luxury-6-bedroom-mansion-in-a-secured-estate
Luxury 4 Bedroom Duplex With Bq In An Elite Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Reef Court Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦150,000,000",4,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1605872-luxury-4-bedroom-duplex-with-bq-in-an-elite-estate
5 Bedroom Duplex In A Decent Environment,5 bedroom detached duplex for sale,Aito Properties Ltd,"Sars Road, Port Harcourt, Rivers",09060587316,"₦48,000,000",5,5,6,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1613643-5-bedroom-duplex-in-a-decent-environment
Brand New 4 Bedroom Duplex In A Secured Estate,4 bedroom detached duplex for sale,Aito Properties Ltd,"Elelenwo, Port Harcourt, Rivers",09060587316,"₦65,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elelenwo/1627640-brand-new-4-bedroom-duplex-in-a-secured-estate
Exquisite 7 Bedrooms Mansion,7 bedroom detached duplex for sale,Aito Properties Ltd,"GRA Phase 1, Port Harcourt, Rivers",09060587316,"₦300,000,000",7,8,8,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/gra-phase-1/1682556-exquisite-7-bedrooms-mansion
Luxury 5 Bedroom Duplex In A Decent Neighborhood,5 bedroom detached duplex for sale,Aito Properties Ltd,"Agip Estate, Port Harcourt, Rivers",09060587316,"₦185,000,000",5,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1701561-luxury-5-bedroom-duplex-in-a-decent-neighborhood
3 Bedroom Bungalow In A Nice Layout,3 bedroom detached bungalow for sale,Aito Properties Ltd,"Off Nta Road, Port Harcourt, Rivers",09060587316,"₦21,000,000",3,3,3,465,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1702865-3-bedroom-bungalow-in-a-nice-layout
Beautifully Built 5 Bedroom Detached Duplex With A Bq,5 bedroom detached duplex for sale,Alnorac,"Iwoji, Port Harcourt, Rivers",+2348136454243,"₦62,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1720049-beautifully-built-5-bedroom-detached-duplex-with-a-bq
Standard And Spacious 5 Bedroom Detached Duplex With A Security House,5 bedroom detached duplex for sale,Alnorac,"Ada George, Port Harcourt, Rivers",+2348136454243,"₦52,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1720038-standard-and-spacious-5-bedroom-detached-duplex-with-a-security-house
6 Units Of 2 Bedroom Flats And 2 Units Of 1 Bedroom Flat In An Estate,2 bedroom block of flats for sale,Alnorac,"Mandela Estate, Sars Road, Port Harcourt, Rivers",+2348136454243,"₦150,000,000",2,2,3,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1716029-6-units-of-2-bedroom-flats-and-2-units-of-1-bedroom-flat-in-an-estate
"Luxury Contemporary 4 Bedroom Duplex , Bq With Excellent Finishing",4 bedroom detached duplex for sale,Odinga E Property Ltd,"Golf Estate Side, Trans Amadi, Port Harcourt, Rivers",08032662547,"₦130,000,000",4,4,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1665609-luxury-contemporary-4-bedroom-duplex-bq-with-excellent-finishing
Exquisite Brand-new 5 Bedroom Duplex With Jacuzzi Bath,4 bedroom semi-detached duplex for sale,Odinga E Property Ltd,"Gra Abacha Road, Port Harcourt, Rivers",08032662547,"₦145,000,000",4,5,5,6,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/1683354-exquisite-brand-new-5-bedroom-duplex-with-jacuzzi-bath
5 Bedroom Duplex Fully Furnished In A Nice Neighborhood,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Peter Odili Road, Port Harcourt, Rivers",08032662547,"₦135,000,000",5,6,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1691946-5-bedroom-duplex-fully-furnished-in-a-nice-neighborhood
Estate Sitting On Over 35 Plots With Very Good Access,5 bedroom detached bungalow for sale,Odinga E Property Ltd,"Off Woji Road, GRA Phase 2, Port Harcourt, Rivers",08032662547,"₦2,200,000,000",5,5,5,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/gra-phase-2/1694370-estate-sitting-on-over-35-plots-with-very-good-access
Exquisitely And Tastefully Finished 4 Bedroom Terrcaced Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",+2348177766119,"₦65,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1715277-exquisitely-and-tastefully-finished-4-bedroom-terrcaced-duplex
Luxuriously Finished 4 Bedroom Semi Detached Duplex,4 bedroom semi-detached duplex for sale,Life Hedge Resources,"Shell Cooperative Estate, Eliozu, Port Harcourt, Rivers",08057258957,"₦95,000,000",4,4,5,5,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/eliozu/1712586-luxuriously-finished-4-bedroom-semi-detached-duplex
Well Located Block Of Flats,2 bedroom block of flats for sale,Bluehedge Realtors,"Tombia Extension, GRA Phase 3, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",2,5,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/gra-phase-3/1695082-well-located-block-of-flats
Standard And Well Spacious 3 Bedrooms Bungalow,3 bedroom detached bungalow for sale,Alnorac,"Rumuosi, Port Harcourt, Rivers",+2348136454243,"₦23,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuosi/1710031-standard-and-well-spacious-3-bedrooms-bungalow
Distress Super Luxurious Brand-new 5 Bedroom Mansion Fully Smart Home,5 bedroom detached duplex for sale,Odinga E Property Ltd,"Royal Palm Estate, Port Harcourt, Rivers",08032662547,"₦380,000,000",5,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1683314-distress-super-luxurious-brand-new-5-bedroom-mansion-fully-smart-home
Lucrative 9 Flats Investment Property,9 bedroom house for sale,Aito Properties Ltd,"Port Harcourt, Rivers",09060587316,"₦40,000,000",9,10,"1,395",,https:/for-sale/houses/rivers/port-harcourt/1705356-lucrative-9-flats-investment-property
Tastefully Furnished 4 Bedrooms Terraced Duplex,4 bedroom terraced duplex for sale,Scalozie Global Services,"Port Harcourt, Rivers",08030894616,"₦80,000,000",4,5,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1280610-tastefully-furnished-4-bedrooms-terraced-duplex
Magnificient And Exotic Block Of Six Units Of 2 Bedroom Flat,2 bedroom block of flats for sale,Bluehedge Realtors,"Off Iwofe Road, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",2,2,3,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1233654-magnificient-and-exotic-block-of-six-units-of-2-bedroom-flat
Luxurious And Exquisitely Finished 6 Bedroom Detached Duplex,6 bedroom detached duplex for sale,Bluehedge Realtors,"Naf Harmony Estate/ Eliozu, Port Harcourt, Rivers",+2348177766119,"₦270,000,000",6,6,7,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1388938-luxurious-and-exquisitely-finished-6-bedroom-detached-duplex
Luxurious And Tastefully Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",+2348177766119,"₦250,000,000",5,5,6,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1450104-luxurious-and-tastefully-finished-5-bedroom-detached-duplex
Magnificient And Luxurious Twin 4 Bedroom Semi Detached Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"New Gra Phase 2, Port Harcourt, Rivers",+2348177766119,"₦200,000,000",4,4,5,8,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1487620-magnificient-and-luxurious-twin-4-bedroom-semi-detached-duplex
Luxurious And Tastefully Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Nta Road, Port Harcourt, Rivers",+2348177766119,"₦85,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1509921-luxurious-and-tastefully-finished-4-bedroom-detached-duplex
Exquisitely Finished 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦90,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1616065-exquisitely-finished-5-bedroom-detached-duplex
Luxury Modern 4 Bedroom Bungalow,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Shell Cooperative Estate Area,, Port Harcourt, Rivers",09060587316,"₦48,000,000",4,5,5,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1616964-luxury-modern-4-bedroom-bungalow
4 Bedroom Duplex In A Serene Environment,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦75,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1670283-4-bedroom-duplex-in-a-serene-environment
"Lucrative Multi Apartment, Investment Property",Block of flats for sale,Aito Properties Ltd,"Rumuoparali, Port Harcourt, Rivers",09060587316,"₦47,000,000",20,930,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuoparali/1678837-lucrative-multi-apartment-investment-property
Distress Luxury 4 Bedroom Duplex Nicely Finished With C Of O,4 bedroom detached duplex for sale,Odinga E Property Ltd,"Okuru New Layout Off Trans-amadi, Port Harcourt, Rivers",08032662547,"₦59,000,000",4,5,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1690190-distress-luxury-4-bedroom-duplex-nicely-finished-with-c-of-o
Magnificent And Luxuriosly Furnished Six (6) Bedroom Detached Duplex,6 bedroom detached duplex for sale,Bluehedge Realtors,"Woji, Port Harcourt, Rivers",+2348177766119,"₦130,000,000",6,6,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1637608-magnificent-and-luxuriosly-furnished-six-6-bedroom-detached-duplex
An Uncompleted Block Of Flats On A Plot Of Land,2 bedroom block of flats for sale,Bluehedge Realtors,"Conerstone, Off Nta Road, Port Harcourt, Rivers",+2348177766119,"₦20,000,000",2,3,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1690751-an-uncompleted-block-of-flats-on-a-plot-of-land
4 Bedroom Bungalow,4 bedroom house for sale,Mentom Global Services Limited,"Rumuesara, Eneka, Port Harcourt, Rivers",07034438300,"₦35,000,000",4,4,5,3,https:/for-sale/houses/rivers/port-harcourt/eneka/1689412-4-bedroom-bungalow
Distress Estate Of 29 Units Of Luxurious Finished 4 Bedroom Duplexes,4 bedroom detached duplex for sale,Odinga E Property Ltd,"Close To Elimgbu Police Station Off Tank, Elimbu, Port Harcourt, Rivers",08032662547,"₦550,000,000",4,4,5,100,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elimbu/1689036-distress-estate-of-29-units-of-luxurious-finished-4-bedroom-duplexes
Modern 3 Bedroom En-suite Bungalow,3 bedroom detached bungalow for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦20,000,000",3,3,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/ozuoba/1550055-modern-3-bedroom-en-suite-bungalow
Income Property: 16 Units Of Flats In A Good Location,16 bedroom block of flats for sale,Aito Properties Ltd,"Mandela Estate, Sars Road, Port Harcourt, Rivers",09060587316,"₦145,000,000",16,930,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1637622-income-property-16-units-of-flats-in-a-good-location
Luxury 6 Bedroom Duplex In A Gated Estate,6 bedroom detached duplex for sale,Aito Properties Ltd,"Rumuodara, Port Harcourt, Rivers",09060587316,"₦70,000,000",6,6,8,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuodara/1462963-luxury-6-bedroom-duplex-in-a-gated-estate
Furnished 4 Units Of 2 Bedroom Flats,8 bedroom block of flats for sale,Aito Properties Ltd,"Sars Road, Rukpokwu, Port Harcourt, Rivers",09060587316,"₦50,000,000",8,8,9,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpokwu/1549850-furnished-4-units-of-2-bedroom-flats
Newly Built Contemporary Units Of Flats,10 bedroom block of flats for sale,Aito Properties Ltd,"Elelenwo, Port Harcourt, Rivers",09060587316,"₦60,000,000",10,10,14,470,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/elelenwo/1580907-newly-built-contemporary-units-of-flats
Lucrative 11 Flat Income Property,14 bedroom block of flats for sale,Aito Properties Ltd,"Rumualogu, Nta Road, Port Harcourt, Rivers",09060587316,"₦190,000,000",14,14,24,647,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1590539-lucrative-11-flat-income-property
"Well Finished 5 Units Of 1 Bedroom, 3 Studio Apartments & Vacant Land",8 bedroom block of flats for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦43,000,000",8,8,11,10,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1591585-well-finished-5-units-of-1-bedroom-3-studio-apartments-vacant-land
Luxury Built 4 Bedrooms Semi Detached Duplex,4 bedroom house for sale,Mentom Global Services Limited,"Ivory Height Estate, By Shell Coperative, Port Harcourt, Rivers",07034438300,"₦95,000,000",4,4,5,3,https:/for-sale/houses/rivers/port-harcourt/1682898-luxury-built-4-bedrooms-semi-detached-duplex
Standard 4 Bedrooms Detached Duplex In A Serene Environment,4 bedroom detached duplex for sale,Alnorac,"Woji Town, Port Harcourt, Rivers",+2348136454243,"₦50,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1671600-standard-4-bedrooms-detached-duplex-in-a-serene-environment
Brand New 4 Units Of 4 Bedroom Duplex Houses,4 bedroom semi-detached duplex for sale,Aito Properties Ltd,"Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦85,000,000",4,4,5,8,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/trans-amadi/1667352-brand-new-4-units-of-4-bedroom-duplex-houses
Luxury Six (6) Bedroom Duplex With One (1) Room Bq,6 bedroom detached duplex for sale,Bluehedge Realtors,"Royal Avenue, Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦110,000,000",6,6,7,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1329849-luxury-six-6-bedroom-duplex-with-one-1-room-bq
"Luxurious 5 Bedrooms Detached Duplex, All En-suite With Bq, Gate House",5 bedroom house for sale,Mentom Global Services Limited,"Gra Port Harcourt Phase 4, By Mopol 19, Port Harcourt, Rivers",07034438300,"₦150,000,000",5,5,6,706,https:/for-sale/houses/rivers/port-harcourt/1423827-luxurious-5-bedrooms-detached-duplex-all-en-suite-with-bq-gate-house
Luxurious And Tastefully Finished 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Bluehedge Realtors,"New Gra, Port Harcourt, Rivers",+2348177766119,"₦95,000,000",4,4,5,4,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1481291-luxurious-and-tastefully-finished-4-bedroom-terrace-duplex
Contemporary Smart House 5 Bedroom Fully Detached Duplex,5 bedroom detached duplex for sale,Gerrymandy Realtors,"Gold Spring Estate, Ordu Street Off East West Road, Port Harcourt, Rivers",07065523304,"₦120,000,000",5,5,6,2,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1650959-contemporary-smart-house-5-bedroom-fully-detached-duplex
Stunning 7 Bedroom Duplex With Penthouse,7 bedroom detached duplex for sale,Aito Properties Ltd,"Ada George Road, Rumuokwuota, Port Harcourt, Rivers",09060587316,"₦170,000,000",7,7,8,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rumuokwuota/1564172-stunning-7-bedroom-duplex-with-penthouse
Tastefully Finished Multiple Units Of Apartments,Block of flats for sale,Aito Properties Ltd,"Ozuoba, Port Harcourt, Rivers",09060587316,"₦85,000,000","1,744",,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1577591-tastefully-finished-multiple-units-of-apartments
Alluring 4 Bedroom Duplex In A Decent Neighborhood,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦155,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1583688-alluring-4-bedroom-duplex-in-a-decent-neighborhood
Elegant 4 Bedroom Duplex With Bq,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦130,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1605002-elegant-4-bedroom-duplex-with-bq
Brand New 2 Units Of 2 Bedroom Apartments,4 bedroom block of flats for sale,Aito Properties Ltd,"Nta Road, Ozuoba, Port Harcourt, Rivers",09060587316,"₦30,000,000",4,4,6,8,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/ozuoba/1474460-brand-new-2-units-of-2-bedroom-apartments
Standard 3 Bedrooms Detached Bungalow,3 bedroom detached bungalow for sale,Eduphil Properties,"Tammy Martins City Estate, Odili Road, Trans Amadi, Port Harcourt, Rivers",08075306696,"₦55,000,000",3,4,4,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/trans-amadi/1644286-standard-3-bedrooms-detached-bungalow
A Three (3) Bedroom Detached Bungalow On 500 Sq.mtrs,3 bedroom detached bungalow for sale,Obum Okoli & Partners,"Off Stadium Road, Port Harcourt, Rivers",08061675102,"₦58,000,000",3,3,4,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1642060-a-three-3-bedroom-detached-bungalow-on-500-sqmtrs
